,entity,class_target
0,Dassault_Aviation,Agent
1,AOL,Agent
2,Adobe_Systems,Agent
3,BT_Group,Agent
4,Ericsson,Agent
5,General_Electric,Agent
6,General_Motors,Agent
7,Harley-Davidson,Agent
8,Intel,Agent
9,Singapore_Airlines,Airline
10,Southwest_Airlines,Airline
11,Air_Canada,Airline
12,All_Nippon_Airways,Airline
13,China_Southern_Airlines,Airline
14,Korean_Air,Airline
15,China_Eastern_Airlines,Airline
16,Hainan_Airlines,Airline
17,Christian_Dior,Artist
18,Emirates_NBD,Bank
19,Allahabad_Bank,Bank
20,Bank_Negara_Indonesia,Bank
21,First_Gulf_Bank,Bank
22,Julius_Baer_Group,Bank
23,Indian_Overseas_Bank,Bank
24,Sun_Life_Financial,Bank
25,Allianz,Bank
26,Credit_Saison,Bank
27,EFG_International,Bank
28,Fidelity_National_Financial,Bank
29,Kotak_Mahindra_Bank,Bank
30,NYSE_Euronext,Bank
31,UBS,Bank
32,M&T_Bank,Bank
33,Intesa_Sanpaolo,Bank
34,Investec,Bank
35,Natixis,Bank
36,SpareBank_1_SR-Bank,Bank
37,Bank_of_Yokohama,Bank
38,Akbank,Bank
39,Swiss_Re,Bank
40,Banco_Bradesco,Bank
41,Invesco,Bank
42,Manulife_Financial,Bank
43,Hokkoku_Bank,Bank
44,Host_Hotels_&_Resorts,Bank
45,Dexia,Bank
46,IDBI_Bank,Bank
47,Suncorp_Group,Bank
48,Bankinter,Bank
49,Jyske_Bank,Bank
50,Banco_Popolare,Bank
51,Nelnet,Bank
52,Ameriprise_Financial,Bank
53,Agricultural_Bank_of_China,Bank
54,Alpha_Bank,Bank
55,Aviva,Bank
56,Axis_Bank,Bank
57,CIT_Group,Bank
58,CNO_Financial_Group,Bank
59,Citigroup,Bank
60,Deutsche_Bank,Bank
61,Israel_Discount_Bank,Bank
62,Kasikornbank,Bank
63,Morgan_Stanley,Bank
64,Northern_Trust,Bank
65,Resona_Holdings,Bank
66,Syndicate_Bank,Bank
67,Toho_Bank,Bank
68,Yamagata_Bank,Bank
69,Akita_Bank,Bank
70,Canara_Bank,Bank
71,BNP_Paribas,Bank
72,Comerica,Bank
73,Krung_Thai_Bank,Bank
74,Kuwait_Finance_House,Bank
75,Mediobanca,Bank
76,Bank_of_Ningbo,Bank
77,Ping_An_Bank,Bank
78,Aichi_Bank,Bank
79,Aomori_Bank,Bank
80,Bank_of_Iwate,Bank
81,Old_Mutual,Bank
82,DVB_Bank,Bank
83,National_Bank_of_Abu_Dhabi,Bank
84,Bank_Central_Asia,Bank
85,Bank_of_America,Bank
86,Bank_of_Baroda,Bank
87,Bank_of_Queensland,Bank
88,Barclays,Bank
89,Danske_Bank,Bank
90,Dubai_Islamic_Bank,Bank
91,Oriental_Bank_of_Commerce,Bank
92,State_Bank_of_India,Bank
93,Vienna_Insurance_Group,Bank
94,Banrisul,Bank
95,MasterCard,Bank
96,Paccar,Bank
97,Bank_Rakyat_Indonesia,Bank
98,Bankia,Bank
99,Arab_National_Bank,Bank
100,Orix,Bank
101,Chang_Hwa_Bank,Bank
102,Commercial_International_Bank,Bank
103,National_Bank_of_Kuwait,Bank
104,SunTrust_Banks,Bank
105,UBI_Banca,Bank
106,UCO_Bank,Bank
107,Union_Bank_of_India,Bank
108,Standard_Life,Bank
109,DGB_Financial_Group,Bank
110,CapitaLand,Bank
111,Interactive_Brokers_Group,Bank
112,Piraeus_Bank,Bank
113,Bank_Hapoalim,Bank
114,Bank_Leumi,Bank
115,Bank_Mandiri,Bank
116,Indian_Bank,Bank
117,Bank_of_Beijing,Bank
118,Bank_of_Communications,Bank
119,Genworth_Financial,Bank
120,Coca-Cola,Beverage
121,CBS,BroadcastNetwork
122,Dassault_Aviation,Company
123,AOL,Company
124,Adobe_Systems,Company
125,BT_Group,Company
126,Ericsson,Company
127,General_Electric,Company
128,General_Motors,Company
129,Harley-Davidson,Company
130,Intel,Company
131,Mattel,Company
132,Maxis,Company
133,Microsoft,Company
134,Nintendo,Company
135,Nokia,Company
136,Philips,Company
137,Sony,Company
138,Agilent_Technologies,Company
139,Alstom,Company
140,Marks_&_Spencer,Company
141,Novartis,Company
142,Singapore_Airlines,Company
143,Telus,Company
144,Emirates_NBD,Company
145,Fastenal,Company
146,Insurance_Australia_Group,Company
147,AGCO,Company
148,AGL_Energy,Company
149,Allahabad_Bank,Company
150,Archer_Daniels_Midland,Company
151,Autoliv,Company
152,BB&T,Company
153,Bank_Negara_Indonesia,Company
154,Beiersdorf,Company
155,Bharat_Heavy_Electricals,Company
156,Coca-Cola_Enterprises,Company
157,Dixons_Retail,Company
158,EOG_Resources,Company
159,Entergy,Company
160,FMC_Technologies,Company
161,First_Gulf_Bank,Company
162,Grupa_Lotos,Company
163,Grupo_Argos,Company
164,Julius_Baer_Group,Company
165,Kinross_Gold,Company
166,NRG_Energy,Company
167,Sacyr_Vallehermoso,Company
168,Sime_Darby,Company
169,Statoil,Company
170,Union_National_Bank,Company
171,Wipro,Company
172,Wynn_Resorts,Company
173,JFE_Holdings,Company
174,Nokian_Tyres,Company
175,Barrick_Gold,Company
176,Delta_Electronics,Company
177,Christian_Dior,FashionDesigner
178,Coca-Cola,Food
179,Enka,Genre
180,Enka,MusicGenre
181,Dassault_Aviation,Organisation
