,entity,class_target
0,Columbia_University,Agent
1,King's_College_London,Agent
2,University_of_Florida,Agent
3,University_of_Michigan,Agent
4,University_of_Virginia,Agent
5,Arizona_State_University,Agent
6,Barnard_College,Agent
7,Brown_University,Agent
8,California_Institute_of_Technology,Agent
9,Dartmouth_College,Agent
10,Drexel_University,Agent
11,Geneva_College,Agent
12,George_Mason_University,Agent
13,Grinnell_College,Agent
14,Harvey_Mudd_College,Agent
15,Iowa_State_University,Agent
16,Ithaca_College,Agent
17,"Queens'_College,_Cambridge",College
18,Columbia_University,EducationalInstitution
19,King's_College_London,EducationalInstitution
20,University_of_Florida,EducationalInstitution
21,University_of_Michigan,EducationalInstitution
22,University_of_Virginia,EducationalInstitution
23,Arizona_State_University,EducationalInstitution
24,Barnard_College,EducationalInstitution
25,Brown_University,EducationalInstitution
26,California_Institute_of_Technology,EducationalInstitution
27,Dartmouth_College,EducationalInstitution
28,Drexel_University,EducationalInstitution
29,Geneva_College,EducationalInstitution
30,George_Mason_University,EducationalInstitution
31,Grinnell_College,EducationalInstitution
32,Harvey_Mudd_College,EducationalInstitution
33,Iowa_State_University,EducationalInstitution
34,Ithaca_College,EducationalInstitution
35,James_Madison_University,EducationalInstitution
36,Kansas_State_University,EducationalInstitution
37,Massachusetts_Institute_of_Technology,EducationalInstitution
38,Millsaps_College,EducationalInstitution
39,Northern_Michigan_University,EducationalInstitution
40,Oberlin_College,EducationalInstitution
41,Occidental_College,EducationalInstitution
42,Princeton_University,EducationalInstitution
43,Reed_College,EducationalInstitution
44,Rice_University,EducationalInstitution
45,St._John_Fisher_College,EducationalInstitution
46,Stanford_University,EducationalInstitution
47,Ripon_College_(Wisconsin),EducationalInstitution
48,Alvernia_University,EducationalInstitution
49,Coe_College,EducationalInstitution
50,Columbus_College_of_Art_and_Design,EducationalInstitution
51,Corban_University,EducationalInstitution
52,Spalding_University,EducationalInstitution
53,Bates_College,EducationalInstitution
54,Francis_Marion_University,EducationalInstitution
55,Hamline_University,EducationalInstitution
56,Marymount_University,EducationalInstitution
57,"Mercy_College,_Perth",EducationalInstitution
58,"Mount_Mercy_College,_Cork",EducationalInstitution
59,Washington_University_Libraries,Library
60,Columbia_University,Organisation
61,King's_College_London,Organisation
62,University_of_Florida,Organisation
63,University_of_Michigan,Organisation
64,University_of_Virginia,Organisation
65,Arizona_State_University,Organisation
66,Barnard_College,Organisation
67,Brown_University,Organisation
68,California_Institute_of_Technology,Organisation
69,Dartmouth_College,Organisation
70,Drexel_University,Organisation
71,Geneva_College,Organisation
72,George_Mason_University,Organisation
73,Grinnell_College,Organisation
74,Harvey_Mudd_College,Organisation
75,Iowa_State_University,Organisation
76,Ithaca_College,Organisation
77,James_Madison_University,Organisation
78,Kansas_State_University,Organisation
79,Massachusetts_Institute_of_Technology,Organisation
80,Millsaps_College,Organisation
81,Northern_Michigan_University,Organisation
82,Oberlin_College,Organisation
83,Occidental_College,Organisation
84,Princeton_University,Organisation
85,Reed_College,Organisation
86,Rice_University,Organisation
87,St._John_Fisher_College,Organisation
88,Stanford_University,Organisation
89,Ripon_College_(Wisconsin),Organisation
90,Alvernia_University,Organisation
91,"Mercy_College,_Perth",School
92,"Mount_Mercy_College,_Cork",School
93,Columbia_University,University
94,King's_College_London,University
95,University_of_Florida,University
96,University_of_Michigan,University
97,University_of_Virginia,University
98,Arizona_State_University,University
99,Barnard_College,University
100,Brown_University,University
101,California_Institute_of_Technology,University
102,Dartmouth_College,University
103,Drexel_University,University
104,Geneva_College,University
105,George_Mason_University,University
106,Grinnell_College,University
107,Harvey_Mudd_College,University
108,Iowa_State_University,University
109,Ithaca_College,University
110,James_Madison_University,University
111,Kansas_State_University,University
112,Massachusetts_Institute_of_Technology,University
113,Millsaps_College,University
114,Northern_Michigan_University,University
115,Oberlin_College,University
116,Occidental_College,University
117,Princeton_University,University
118,Reed_College,University
119,Rice_University,University
120,St._John_Fisher_College,University
121,Stanford_University,University
122,Ripon_College_(Wisconsin),University
123,Alvernia_University,University
124,Coe_College,University
125,Columbus_College_of_Art_and_Design,University
126,Corban_University,University
127,Spalding_University,University
128,Bates_College,University
129,Francis_Marion_University,University
130,Hamline_University,University
131,Marymount_University,University
132,Lakeland_College_(Alberta),University
133,University_of_Missouri,University
134,Thomas_More_College_(Kentucky),University
135,Randolph_College,University
136,Viterbo_University,University
